ts,symbol,strategy,regime,signal,intent,size_usd,price,ml_p_up,ml_vote,veto,reasons,planned_stop,planned_tp,run_id
1760556672,BTC/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,111498.16,1.7551519583398693e-150,neutral,0,ok,111608.44394935829,111277.59210128344,
1760556666,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,4004.19,0.3387799562477669,neutral,0,ok,,,
1760556639,SOL/USDT,rsi_mean_revert,chop,buy,buy,2082.0083333333337,196.64,0.999989589115421,boost,0,ok,196.091830445274,197.73633910945196,
1760556634,BTC/USDT,rsi_mean_revert,chop,hold,hold,0.0,111498.16,1.6366590466229993e-150,neutral,0,ok,,,
1760556629,ETH/USDT,rsi_mean_revert,chop,hold,hold,0.0,4002.93,0.342822728660645,neutral,0,ok,,,
1760556605,SOL/USDT,rsi_mean_revert,chop,buy,buy,2082.0083333333337,196.58,0.9999895516197634,boost,0,ok,196.03754473098832,197.6649105380234,
1760556599,BTC/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,111496.02,1.479889126750246e-150,neutral,0,ok,111611.33394906265,111265.3921018747,
1760556593,ETH/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,4003.3,0.34596137424762163,neutral,0,ok,4011.3847005720213,3987.1305988559575,
1760556567,SOL/USDT,rsi_mean_revert,chop,buy,buy,2082.0083333333337,196.76,0.9999897948819455,boost,0,ok,196.20285057439867,197.8742988512026,
1760556562,BTC/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,111513.99,9.078414849354821e-151,neutral,0,ok,111629.30394906265,111283.3621018747,
1760556557,ETH/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,4004.14,0.34214063420583546,neutral,0,ok,4012.104700572021,3988.210598855957,
1760556533,SOL/USDT,ema_trend,trend,buy,buy,2082.0083333333337,196.78,0.9999897126508852,neutral,0,ok,196.19383907224616,197.95232185550768,
1760556528,BTC/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,111509.52,8.131461863681865e-151,neutral,0,ok,111629.77010657714,111269.01978684573,
1760556523,ETH/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,4004.76,0.33492208943660773,neutral,0,ok,4013.31275585614,3987.6544882877206,
1760556499,SOL/USDT,ema_trend,trend,buy,buy,2082.0083333333337,197.02,0.9999898300954796,neutral,0,ok,196.46098192938905,198.13803614122196,
1760556494,BTC/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,111539.54,3.6078351761819075e-151,neutral,0,ok,111653.58010657712,111311.45978684572,
1760556489,ETH/USDT,ema_trend,trend,hold,hold,0.0,4007.79,0.3190641324852117,veto,1,ml_veto,,,
1760556464,SOL/USDT,ema_trend,trend,buy,buy,2082.0083333333337,196.98,0.9999898202924427,neutral,0,ok,196.39490350600812,198.15019298798373,
1760556458,BTC/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,111525.51,3.7286123549553555e-151,neutral,0,ok,111646.2611993982,111284.0076012036,
1760556453,ETH/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,4004.29,0.3356621632162963,neutral,0,ok,4012.6967032267544,3987.4765935464916,
1760556427,SOL/USDT,ema_trend,trend,buy,buy,2082.0083333333337,196.91,0.9999898276022559,neutral,0,ok,196.33918922029383,198.0516215594123,
1760556421,BTC/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,111512.78,5.2842674783894145e-151,neutral,0,ok,111631.71405654105,111274.9118869179,
1760556416,ETH/USDT,rsi_mean_revert,chop,sell,sell,2082.0083333333337,4003.74,0.33502588082222023,neutral,0,ok,4012.6810725109012,3985.857854978197,
